Name,Position,Rating,Year,DVOA,QBR,DVAR,Yards,TD,INT
T.Brady,QB,99,2008,54.10%,599,"2,674",,,
P.Manning,QB,99,2008,37.10%,537,"1,721",,,
B.Favre,QB,89,2008,24.50%,549,"1,311",,,
T.Romo,QB,84,2008,22.50%,546,"1,191",,,
D.Brees,QB,95,2008,14.20%,669,"1,159",,,
C.Palmer,QB,97,2008,17.00%,591,"1,095",,,
D.Garrard,QB,82,2008,34.30%,345,"1,019",,,
J.Cutler,QB,86,2008,16.00%,495,865,,,
M.Hasselbeck,QB,92,2008,10.30%,595,842,,,
D.Anderson,QB,78,2008,8.70%,534,676,,,
B.Roethlisberger,QB,88,2008,12.70%,450,668,,,
J.Garcia,QB,84,2008,17.40%,346,648,,,
K.Warner,QB,81,2008,8.30%,472,606,,,
D.McNabb,QB,94,2008,5.10%,515,554,,,
P.Rivers,QB,89,2008,3.30%,486,441,,,
J.Campbell,QB,81,2008,0.40%,436,323,,,
M.Schaub,QB,83,2008,5.10%,301,319,,,
J.Kitna,QB,84,2008,-4.50%,612,262,,,
C.Pennington,QB,88,2008,-6.70%,284,83,,,
T.Jackson,QB,77,2008,-8.90%,307,45,,,
M.Leinart,QB,84,2008,-6.30%,116,35,,,
T.Edwards,QB,70,2008,-11.00%,280,3,,,
V.Young,QB,87,2008,-12.30%,409,-30,,,
K.Boller,QB,76,2008,-15.30%,295,-81,,,
D.Huard,QB,82,2008,-16.60%,367,-123,,,
B.Griese,QB,81,2008,-18.30%,275,-124,,,
B.Croyle,QB,77,2008,-21.60%,240,-160,,,
E.Manning,QB,86,2008,-16.40%,557,-190,,,
K.Clemens,QB,76,2008,-22.60%,274,-200,,,
M.Bulger,QB,95,2008,-19.70%,414,-224,,,
R.Grossman,QB,84,2008,-26.00%,249,-235,,,
S.McNair,QB,85,2008,-28.10%,216,-242,,,
A.Smith,QB,84,2008,-52.80%,208,-552,,,
D.Brees,QB,94,2009,28.60%,64.4,"1,694",,,
P.Manning,QB,99,2009,30.00%,79.8,"1,554",,,
P.Rivers,QB,90,2009,30.30%,68.1,"1,347",,,
J.Cutler,QB,86,2009,17.00%,72.3,"1,172",,,
K.Warner,QB,85,2009,16.50%,69.8,"1,160",,,
M.Ryan,QB,83,2009,25.30%,74.1,"1,012",,,
E.Manning,QB,93,2009,14.00%,62.6,840,,,
D.McNabb,QB,92,2009,9.70%,51.6,817,,,
M.Schaub,QB,85,2009,18.00%,68,767,,,
T.Romo,QB,94,2009,12.90%,48.4,713,,,
A.Rodgers,QB,83,2009,8.50%,66.9,708,,,
J.Delhomme,QB,85,2009,13.20%,62.6,696,,,
K.Collins,QB,79,2009,9.80%,57.9,585,,,
D.Garrard,QB,92,2009,4.10%,53.1,567,,,
J.Garcia,QB,90,2009,6.90%,66,467,,,
J.Campbell,QB,86,2009,2.60%,56.4,462,,,
M.Cassel,QB,76,2009,1.10%,63.2,458,,,
J.Flacco,QB,79,2009,-3.00%,43.2,232,,,
T.Jackson,QB,79,2009,4.80%,42.5,166,,,
K.Orton,QB,76,2009,-6.20%,45.5,161,,,
T.Edwards,QB,79,2009,-5.80%,51.9,137,,,
B.Roethlisberger,QB,95,2009,-8.10%,46.8,97,,,
S.Hill,QB,79,2009,-8.00%,59.1,65,,,
C.Palmer,QB,96,2009,-11.80%,48.6,-6,,,
G.Frerotte,QB,77,2009,-16.40%,42.3,-112,,,
J.Kitna,QB,84,2009,-25.00%,11,-120,,,
D.Anderson,QB,87,2009,-17.50%,30.4,-123,,,
J.Russell,QB,83,2009,-21.60%,35.3,-265,,,
M.Hasselbeck,QB,91,2009,-38.90%,30.9,-402,,,
M.Bulger,QB,89,2009,-24.70%,32.7,-406,,,
T.Brady,QB,97,2010,40.40%,65.1,"2,021",4398,28,13
P.Rivers,QB,89,2010,41.70%,74.7,"1,776",4254,28,9
P.Manning,QB,99,2010,34.00%,82.9,"1,771",4500,33,16
D.Brees,QB,96,2010,36.70%,79.7,"1,692",4388,34,11
M.Schaub,QB,77,2010,29.30%,70.3,"1,624",4770,29,15
T.Romo,QB,87,2010,28.00%,62.9,"1,432",4483,26,9
B.Roethlisberger,QB,93,2010,23.20%,67.3,"1,227",4328,26,12
A.Rodgers,QB,86,2010,17.80%,70.2,"1,105",4434,30,7
E.Manning,QB,87,2010,17.30%,69.8,975,4021,27,14
K.Warner,QB,94,2010,14.50%,67.3,907,3758,27,14
K.Orton,QB,74,2010,8.40%,53.2,711,3802,21,12
M.Ryan,QB,85,2010,12.40%,56.6,702,2916,22,14
J.Flacco,QB,81,2010,8.40%,55,667,3613,21,12
C.Palmer,QB,88,2010,7.80%,53.1,583,3094,21,13
D.McNabb,QB,90,2010,4.50%,60,485,3553,22,10
C.Henne,QB,66,2010,3.40%,51.3,449,2878,12,14
V.Young,QB,68,2010,13.90%,70.3,427,1879,10,7
M.Moore,QB,55,2010,17.00%,59.2,262,1053,8,2
D.Garrard,QB,78,2010,-4.10%,52.6,249,3597,15,10
J.Campbell,QB,77,2010,-6.10%,47.7,181,3618,20,15
K.Kolb,QB,68,2010,11.80%,49.5,152,741,4,3
K.Collins,QB,79,2010,-21.00%,33.2,-139,1225,6,8
M.Bulger,QB,78,2010,-23.20%,32.1,-203,1469,5,6
B.Quinn,QB,71,2010,-22.80%,33.4,-207,1339,8,7
A.Smith,QB,67,2010,-19.50%,40.2,-210,,,
T.Edwards,QB,76,2010,-29.60%,28.3,-229,1169,6,7
J.Delhomme,QB,80,2010,-23.10%,31.1,-260,2015,8,18
S.Hill,QB,69,2010,-36.30%,42.6,-261,943,5,2
M.Sanchez,QB,78,2010,-26.50%,31.6,-382,2444,12,20
J.Cutler,QB,87,2010,-21.40%,48.2,-390,3666,27,26
J.Freeman,QB,73,2010,-31.10%,26.1,-392,1857,10,18
