Name,Position,Rating,Year,DVOA,QBR,DVAR,Yards,TD,INT
T.Brady,QB,98,2007,54.10%,599,"2,674",,,
P.Manning,QB,99,2007,37.10%,537,"1,721",,,
B.Favre,QB,88,2007,24.50%,549,"1,311",,,
T.Romo,QB,75,2007,22.50%,546,"1,191",,,
D.Brees,QB,92,2007,14.20%,669,"1,159",,,
C.Palmer,QB,95,2007,17.00%,591,"1,095",,,
D.Garrard,QB,81,2007,34.30%,345,"1,019",,,
J.Cutler,QB,79,2007,16.00%,495,865,,,
M.Hasselbeck,QB,93,2007,10.30%,595,842,,,
D.Anderson,QB,66,2007,8.70%,534,676,,,
B.Roethlisberger,QB,92,2007,12.70%,450,668,,,
K.Warner,QB,87,2007,8.30%,472,606,,,
D.McNabb,QB,94,2007,5.10%,515,554,,,
P.Rivers,QB,83,2007,3.30%,486,441,,,
J.Campbell,QB,77,2007,0.40%,436,323,,,
J.Kitna,QB,83,2007,-4.50%,612,262,,,
T.Green,QB,91,2007,4.90%,146,148,,,
C.Pennington,QB,85,2007,-6.70%,284,83,,,
T.Jackson,QB,76,2007,-8.90%,307,45,,,
M.Leinart,QB,81,2007,-6.30%,116,35,,,
D.Culpepper,QB,92,2007,-8.50%,209,33,,,
V.Young,QB,82,2007,-12.30%,409,-30,,,
K.Boller,QB,80,2007,-15.30%,295,-81,,,
D.Huard,QB,71,2007,-16.60%,367,-123,,,
B.Griese,QB,81,2007,-18.30%,275,-124,,,
B.Croyle,QB,75,2007,-21.60%,240,-160,,,
E.Manning,QB,88,2007,-16.40%,557,-190,,,
K.Clemens,QB,74,2007,-22.60%,274,-200,,,
D.Carr,QB,84,2007,-32.60%,150,-204,,,
M.Bulger,QB,90,2007,-19.70%,414,-224,,,
R.Grossman,QB,85,2007,-26.00%,249,-235,,,
S.McNair,QB,88,2007,-28.10%,216,-242,,,
A.Smith,QB,82,2007,-52.80%,208,-552,,,
D.Brees,QB,95,2008,28.60%,64.4,"1,694",,,
P.Manning,QB,99,2008,30.00%,79.8,"1,554",,,
P.Rivers,QB,89,2008,30.30%,68.1,"1,347",,,
J.Cutler,QB,86,2008,17.00%,72.3,"1,172",,,
K.Warner,QB,81,2008,16.50%,69.8,"1,160",,,
C.Pennington,QB,88,2008,21.10%,74.6,"1,030",,,
E.Manning,QB,86,2008,14.00%,62.6,840,,,
D.McNabb,QB,94,2008,9.70%,51.6,817,,,
M.Schaub,QB,83,2008,18.00%,68,767,,,
T.Romo,QB,84,2008,12.90%,48.4,713,,,
A.Rodgers,QB,76,2008,8.50%,66.9,708,,,
J.Delhomme,QB,86,2008,13.20%,62.6,696,,,
K.Collins,QB,79,2008,9.80%,57.9,585,,,
D.Garrard,QB,82,2008,4.10%,53.1,567,,,
J.Garcia,QB,84,2008,6.90%,66,467,,,
J.Campbell,QB,81,2008,2.60%,56.4,462,,,
M.Cassel,QB,75,2008,1.10%,63.2,458,,,
T.Jackson,QB,77,2008,4.80%,42.5,166,,,
K.Orton,QB,71,2008,-6.20%,45.5,161,,,
T.Edwards,QB,70,2008,-5.80%,51.9,137,,,
B.Roethlisberger,QB,88,2008,-8.10%,46.8,97,,,
B.Favre,QB,89,2008,-8.60%,44.4,95,,,
C.Palmer,QB,97,2008,-11.80%,48.6,-6,,,
B.Griese,QB,81,2008,-17.70%,40.2,-79,,,
J.Kitna,QB,84,2008,-25.00%,11,-120,,,
D.Anderson,QB,78,2008,-17.50%,30.4,-123,,,
J.Russell,QB,82,2008,-21.60%,35.3,-265,,,
M.Hasselbeck,QB,92,2008,-38.90%,30.9,-402,,,
M.Bulger,QB,95,2008,-24.70%,32.7,-406,,,
T.Brady,QB,99,2009,40.40%,65.1,"2,021",4398,28,13
P.Rivers,QB,90,2009,41.70%,74.7,"1,776",4254,28,9
P.Manning,QB,99,2009,34.00%,82.9,"1,771",4500,33,16
D.Brees,QB,94,2009,36.70%,79.7,"1,692",4388,34,11
M.Schaub,QB,85,2009,29.30%,70.3,"1,624",4770,29,15
T.Romo,QB,94,2009,28.00%,62.9,"1,432",4483,26,9
B.Roethlisberger,QB,95,2009,23.20%,67.3,"1,227",4328,26,12
A.Rodgers,QB,83,2009,17.80%,70.2,"1,105",4434,30,7
E.Manning,QB,93,2009,17.30%,69.8,975,4021,27,14
K.Warner,QB,85,2009,14.50%,67.3,907,3758,27,14
K.Orton,QB,76,2009,8.40%,53.2,711,3802,21,12
M.Ryan,QB,83,2009,12.40%,56.6,702,2916,22,14
J.Flacco,QB,79,2009,8.40%,55,667,3613,21,12
C.Palmer,QB,96,2009,7.80%,53.1,583,3094,21,13
D.McNabb,QB,92,2009,4.50%,60,485,3553,22,10
C.Henne,QB,77,2009,3.40%,51.3,449,2878,12,14
V.Young,QB,88,2009,13.90%,70.3,427,1879,10,7
M.Moore,QB,79,2009,17.00%,59.2,262,1053,8,2
